2025-12-30 10:44:19 | INFO | __main__ | Reading file: 4GS_virtuals_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 4GS_virtuals_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 4GS_virtuals_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 5dee_dao_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 5dee_dao_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 5dee_dao_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 5dee_dao_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 5dee_dao_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 6873AI_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 6873AI_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 6873AI_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 6873AI_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 6873AI_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 6900HENTAI_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 6900HENTAI_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 6900HENTAI_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 6900HENTAI_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 6900HENTAI_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 69420digits_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 69420digits_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 69420digits_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 69420digits_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 69420digits_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 717CapitalAI_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 717CapitalAI_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 717CapitalAI_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 717CapitalAI_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 717CapitalAI_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 8bitoracle_tweets_0.json
